rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
79,"Nola, Aaron",10.988141361195378,data_driven_full,23,9.225,4,3.9381679327660297,3.6,12.7,9.225,9.5375,2026-08-03,-0.3124999999999982,605400,23.0,17.66,21.9,17.391304347826086,0.0,30.434782608695656,7.9169528413708585,5.260869565217392,9.0,5.217391304347826,0.09442291094924755,-0.6964664501239697,-0.30102176958736104
78,"Castillo, Luis",11.106972546414704,data_driven_full,18,3.325,4,7.800160254764,-4.5,14.1,3.325,9.0375,2026-08-06,-5.7125,622491,18.0,17.37,21.8,11.11111111111111,0.0,33.33333333333333,8.832843123652701,4.444444444444445,7.0,5.1296333333333335,0.018683682379319524,-0.6964664501239697,-0.3388913838723251
227,"Teng, Kai-Wei",8.438931622688285,data_driven_full,10,2.025,4,10.071204826964182,-4.9,16.8,4.300000000000001,7.05,2026-07-24,-5.025,678906,10.0,17.2,20.8,10.0,0.0,60.0,9.555196375678408,4.3,9.0,4.4,-0.025715175747880244,-0.6964664501239697,-0.361090812935925
187,"Rea, Colin",8.951199972930247,data_driven_full,19,13.225,4,5.065158766843674,6.5,18.8,13.225,11.5125,2026-08-02,1.7125000000000004,607067,19.0,17.12,18.8,15.789473684210526,0.0,26.31578947368421,7.930594396725893,3.9473684210526314,7.0,5.298236842105263,-0.04660875604303242,-0.6964664501239697,-0.37153760308350103
249,"Scherzer, Max",8.143446495413423,data_driven_full,8,0.8250000000000002,4,13.803954747342036,-15.3,17.8,0.8250000000000002,2.4000000000000004,2026-08-02,-1.5750000000000002,453286,8.0,17.1,17.8,12.5,0.0,62.5,12.573327778618175,2.875,5.0,3.833325,-0.05183215111682046,-0.6964664501239697,-0.3741493006203951
345,"Sugano, Tomoyuki",5.895849168847596,data_driven_full,20,11.75,4,4.288356328478313,6.5,17.0,11.75,7.9125,2026-08-05,3.8375,608372,20.0,17.080000000000002,18.8,15.0,0.0,25.0,7.420120228845778,3.05,5.0,5.383335000000001,-0.05705554619060851,-0.6964664501239697,-0.3767609981572891
147,"Kremer, Dean",9.642540893408372,data_driven_full,8,3.175,4,9.205931059195844,-9.8,11.5,3.175,8.4125,2026-08-05,-5.2375,665152,8.0,16.8,16.8,0.0,0.0,25.0,8.971293504442777,5.0,9.0,5.125,-0.13018307722364297,-0.6964664501239697,-0.41332476367380633
255,"Matz, Steven",8.025113555448467,data_driven_full,10,1.6,4,12.02913130695646,-9.1,12.8,4.425000000000001,5.6875,2026-08-04,-4.0875,571927,10.0,16.669999999999998,21.8,10.0,0.0,40.0,10.62907960894702,3.7,8.0,4.6,-0.16413514520326666,-0.6964664501239697,-0.4303007976636182
213,"Schultz, Noah",8.608119857507496,data_driven_full,13,3.275,4,8.625688378326682,-6.9,13.5,6.775,3.8125,2026-08-01,-0.5375000000000001,702273,13.0,16.6,18.5,7.6923076923076925,0.0,38.46153846153847,9.459752802104456,4.153846153846154,8.0,4.615376923076924,-0.18241702796152434,-0.6964664501239697,-0.439441739042747
231,"Junk, Janson",8.41424786715373,data_driven_full,16,6.25,4,9.183499696012772,-3.8,15.5,6.25,4.775,2026-08-06,1.4749999999999996,676083,16.0,16.55,19.8,6.25,0.0,25.0,7.930592138463979,3.875,6.0,5.1041625,-0.19547551564599494,-0.6964664501239697,-0.4459709828849823
184,"Kay, Anthony",9.010680700721952,data_driven_full,21,10.8,4,3.868677637987775,7.2,15.9,10.8,10.3625,2026-08-02,0.4374999999999982,641743,21.0,16.5,21.8,9.523809523809524,0.0,23.809523809523807,8.756592074654659,4.238095238095238,8.0,4.904761904761905,-0.2085340033304655,-0.6964664501239697,-0.45250022672721757
