pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
461829,2018,32,2.4550445040765165,8,0.04738154613466334,,0,False
461829,2019,17,0.6476410822722114,7,0.9551122194513716,6,54,False
462136,2017,33,3.268325250961398,13,0.02743142144638404,,0,False
462136,2018,28,2.279803070485703,15,0.30673316708229426,17,27,False
467100,2017,31,3.029831556051304,17,0.02743142144638404,,0,False
467100,2018,29,1.7614427673634612,14,0.5062344139650873,,0,False
467100,2019,34,1.2717957270494347,23,0.7331670822942643,,0,False
468504,2017,32,1.406301109654737,27,0.3915211970074813,,0,False
468504,2018,35,2.339857618481592,7,0.20448877805486285,,0,False
468504,2019,24,2.6955673923766406,12,0.06733167082294264,,0,False
471911,2017,32,1.744764972963433,12,0.38902743142144636,,0,False
471911,2018,30,2.897887783693095,12,0.06234413965087282,,0,False
471911,2022,29,1.1753802311311974,8,0.8528678304239401,,0,False
471911,2023,20,1.258058931358725,8,0.5960099750623441,,0,False
471911,2024,21,1.8650457266114786,12,0.1770573566084788,,0,False
474463,2018,17,1.8601173342526038,11,0.3192019950124688,,0,False
474463,2019,31,0.6835860849927958,5,0.970074812967581,,0,False
474463,2021,24,1.4113650611047166,10,0.6433915211970075,,0,False
475115,2018,23,3.0018235432720037,13,0.11221945137157108,,0,False
476451,2017,30,2.67023901369233,14,0.14214463840399003,,0,False
476451,2018,19,1.7007116500434327,7,0.2793017456359102,9,27,False
477132,2017,27,1.7954656111468281,22,0.5486284289276808,21,40,False
477132,2018,26,1.756997189199749,4,0.486284289276808,7,30,False
477132,2019,28,2.52472673021445,14,0.1172069825436409,,0,False
477132,2021,22,1.338213972847879,5,0.7057356608478803,,0,False
477132,2022,22,1.159142135406801,15,0.9201995012468828,5,35,False
477132,2023,24,2.5411291540073044,13,0.057356608478802994,16,44,False
477132,2025,22,2.714791817214139,16,0.057356608478802994,,0,False
488768,2017,28,1.2192824595810223,10,0.4339152119700748,,0,False
488768,2018,28,3.8142003837322456,18,0.0024937655860349127,,0,False
488768,2019,23,1.6775066023952012,11,0.6733167082294265,,0,False
489119,2017,32,3.261819655661374,4,0.012468827930174564,,0,False
489119,2018,16,0.7833801793916638,8,0.9276807980049875,,0,False
489119,2019,33,2.0350614063663595,7,0.39900249376558605,,0,False
489119,2021,28,1.5718809249296146,14,0.5935162094763092,,0,False
489119,2023,23,1.021498279214123,14,0.8778054862842892,8,32,False
490063,2017,22,1.43797537546232,6,0.2793017456359102,,0,False
500724,2017,24,2.9579715520302137,5,0.10224438902743142,,0,False
500779,2017,32,2.0699861894059164,14,0.2593516209476309,,0,False
500779,2018,32,1.7987209270053846,25,0.39650872817955113,,0,False
500779,2019,31,1.8152410426798034,24,0.7231920199501247,,0,False
500779,2022,32,1.16368293969149,22,0.8029925187032418,,0,False
500779,2024,31,2.1346682759588695,13,0.428927680798005,,0,False
500779,2025,24,0.6921581084925086,5,0.9376558603491272,,0,False
501381,2017,17,3.132355696126843,7,0.034912718204488775,,0,False
501381,2019,26,2.427880325645769,21,0.2344139650872818,,0,False
501381,2021,21,3.3194194978012614,8,0.00997506234413965,,0,False
501957,2017,19,0.872562497322224,13,0.8653366583541147,,0,False
501985,2018,28,1.436535325721615,18,0.7007481296758105,,0,False
501985,2019,32,2.322941715784944,24,0.24688279301745636,,0,False
501985,2021,28,2.4807518342590864,13,0.16708229426433915,,0,False
501985,2022,19,1.8405250291251407,11,0.22942643391521197,,0,False
502042,2017,34,2.139165793347013,6,0.314214463840399,,0,False
502042,2018,27,1.4144674528404306,22,0.6483790523690773,13,37,False
502042,2019,23,2.304301778950309,10,0.1571072319201995,,0,False
502042,2022,25,0.9072152813228123,17,0.9251870324189526,,0,False
502043,2017,29,2.9427051571394576,16,0.059850374064837904,,0,False
502043,2018,32,1.956427327349653,12,0.24438902743142144,,0,False
502043,2019,29,1.4789425230183297,22,0.7032418952618454,,0,False
502043,2021,30,2.652593945985891,25,0.11471321695760599,,0,False
502043,2022,31,2.0977975794097925,22,0.5660847880299252,,0,False
502043,2023,33,1.9188416315255352,12,0.655860349127182,,0,False
502043,2024,30,1.8316456350579118,4,0.6483790523690773,,0,False
502171,2017,29,2.550028916615867,22,0.10473815461346633,,0,False
502171,2018,28,2.0268272119488895,5,0.33665835411471323,,0,False
502171,2021,18,1.8995969705829248,10,0.10224438902743142,,0,False
502171,2022,28,1.6496827710438575,8,0.6533665835411472,,0,False
502171,2023,28,1.7158873200763014,17,0.5586034912718204,,0,False
502179,2021,19,2.339612583324876,6,0.12967581047381546,,0,False
502179,2022,19,0.7645472431879728,12,0.7107231920199502,,0,False
502188,2017,32,2.5313997225496756,13,0.034912718204488775,,0,False
502188,2019,32,2.3899783568407895,26,0.1596009975062344,,0,False
502190,2017,31,1.4852857803849182,26,0.4164588528678304,,0,False
502190,2018,31,0.9856483049197895,22,0.9576059850374065,,0,False
502190,2019,32,2.915934684153196,21,0.00997506234413965,,0,False
502239,2018,20,1.9948862603776043,13,0.48129675810473815,8,40,False
502624,2017,25,1.7986318173625475,9,0.46384039900249374,16,53,False
502624,2018,30,2.165887248608007,11,0.15211970074812967,,0,False
502624,2019,27,1.3023536174594612,10,0.40399002493765584,,0,False
502624,2023,17,0.937442631285553,11,0.8453865336658354,12,43,False
502706,2017,26,2.7293364797060558,16,0.02493765586034913,,0,False
502706,2018,30,1.3806560847571188,11,0.7206982543640897,,0,False
502748,2017,21,2.19482658568075,6,0.3516209476309227,,0,False
502748,2019,15,2.1445300717182945,5,0.40399002493765584,,0,False
503449,2021,18,0.7812745099855886,11,0.8902743142144638,,0,False
506433,2017,31,1.4500893702365218,20,0.7680798004987531,,0,False
506433,2019,31,3.4206474184072913,21,0.029925187032418952,,0,False
